"tipo_bien","numero_oficio","juzgado","tipo_delito","medida","fecha_recepcion","fecha_medida","localizacion","provincia","estupefaciente_sustancia","estupefaciente_cantidad","arma_tipo","arma_numero_serie","arma_marca","arma_modelo","arma_calibre","automotor_tipo","automotor_dominio","automotor_marca","automotor_modelo","automotor_color","automotor_anio","aeronave_numero_serie","aeronave_matricula","aeronave_marca","aeronave_modelo","buque_pais","buque_nombre","buque_matricula","dinero_moneda_descripcion","dinero_cantidad","titulo_tipo","titulo_nombre_emisor","titulo_cantidad","titulo_fecha_vencimiento","titulo_categoria","titulo_bolsa_cotiza","titulo_moneda","otro_clasificacion","otro_detalle","provincia_indec_id"
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2017-10-05","2016-04-18","Ministerio de Seguridad de la Nación",,,,,,,,,,,,,,,"418","LV-BPL","Learjet","35A",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2017-10-05","2016-04-18","Junta de Investigación de Accidentes de Aviación Civil",,,,,,,,,,,,,,,"11412","LV-MBY","Rockwell Commander","690-B",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2018-08-13","2016-04-18","Ministerio de Seguridad de la Nación",,,,,,,,,,,,,,,"418","LV-BPL","Learjet","35A",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Criminal y Correccional Federal Nro. 7","Encubrimiento y lavado de activos de origen delictivo (arts.277 a 279)","Secuestro","2018-08-13","2016-04-18","Junta de Investigación de Accidentes de Aviación Civil",,,,,,,,,,,,,,,"11412","LV-MBY","Rockwell Commander","690-B",,,,,,,,,,,,,,,""
"aeronave",,"Juzgado Federal de Paraná N° 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Secuestro","2017-06-15",,"II BRIGADA AÉREA PARANÁ, DE LA FUERZA FEDERAL ARGENTINA","Entre Ríos",,,,,,,,,,,,,,,"ZPX059","CESSNA","210A",,,,,,,,,,,,,,,"30"
"arma",,"Cámara de Casación Penal - Sala 1","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2017-10-09","2017-06-02",,,,,"Pistola","90397","Browning",,"7,65 mm",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara de Casación Penal - Sala 3","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2017-04-26",,,,,,"Pistola","777209","BERSA",,"9MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara de Casación Penal - Sala 3","INFRACCION LEY 23737 - REGIMEN LEGAL DE ESTUPEFACIENTES","Decomiso","2017-04-26",,,,,,"Pistola","TKL 24684 AFD","TAURUS","PT92","9MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara Nacional de Casación en lo criminal y correccional - Sala I","Lesiones (art 89 a 94)","Decomiso","2018-10-30","2018-10-24",,,,,"Pistola","5935","LUGER","P08 1918","9x19  MM",,,,,,,,,,,,,,,,,,,,,,,,,""
"arma",,"Cámara Nacional de Casación en lo criminal y correccional - Sala I","Lesiones (art 89 a 94)","Decomiso","2018-10-30","2018-10-24",,,,,"Pistola","F35331","PIETRO BERETTA",,".22 PLG LR",,,,,,,,,,,,,,,,,,,,,,,,,""
